NgayDangBan,Id_NguoiDangban,NguoiDangban,LoaiBDS,Tinh,Huyen,Xa,DiaChi,TongGia,Gia/m2,MaTin,DienTich,ChieuDai,ChieuRong,Huong,PhongNgu,PhongTam,MoTa,id,GiayToPhapLy,TienIchLanCan,DuongVaoBds,ViTri,HuongBanCong,NamXayDung,HienTrangNha,TrangThaiSuDung,TienIchToaNha,HangXom,AnNinh,DuongVao,SoTang,KetCau,"NoiThat,TienNghi"
"11/07/2022, 16:30",2962,Hiêu,Nhà riêng,TP. Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,"Hẻm 37, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",27 tỷ,71.62 triệu/m²,9509,377 m²,35.1 m,8 m,Tây Nam,3,3,"Bán nhà 1 xẹt Hẻm 72 Dương Đức Hiền, p. Tây Thạnh, Tân Phú. Khu vực cực kỳ sầm uất, tiện ích không thiếu thứ gì. • Tổng diện tích 377.3m2 ngang 8.4m nở hậu 14m. • Hẻm trước nhà 6.5m xe tải chạy thoải mái, cách MT Dương Đức Hiền chỉ chưa đầy 50m. • Trên đất có nhà 1 trệt 1 lầu sân thượng mái ngói 60m2/sàn. • Sổ riêng full thổ cư, sang tên nhanh gọn. • Tiện xây mini hotel, VP cty kết hợp ở, nhà cho thuê, biệt thự vườn, cafe vườn ..... • Giá bán công khai 27 tỷ. Còn thương lượng cho khách thiện chí.",1655350408,Sổ đỏ,"['Công viên', 'Hồ bơi', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Sân vận động', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Chợ', 'Khu công nghiệp', 'Bệnh viện']",,Hẻm,,,Đầy đủ nội thất,Đã qua sử dụng,,"['Thân thiện', 'Trí thức']",,6.5 m,,Nhà cấp 2,
"11/07/2022, 16:29",3581,Lê Huy Sơn,Đất nền dự án,Bắc Giang,Huyện Tân Yên,Thị trấn Nhã Nam,"Thị trấn Nhã Nam, Huyện Tân Yên, Bắc Giang",1.79 tỷ,21 triệu/m²,15413,85 m²,--,--,--,--,--,"Đất nền KĐT Tiến Nhã Nam mở bán ngày 10/7/ 2022 địa chỉ KĐT Tiến Phan thị trấn Nhã Nam, huyện Tân Yên , tỉnh Bắc Giang --diện tích từ 85 - 95 m2 --giá bán 21tr/m2 hướng tây bắc và hướng đông nam --thủ tục pháp lí rõ ràng --mọi người có thể tìm hiểu thông tin trên web hoặc liên hệ : Huy Sơn để biết thêm thông tin.",1657531741,Sổ đỏ,"['Công viên', 'T.T thương mại', 'Nhà văn hóa', 'Sân vận động', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Chợ', 'Siêu thị', 'Khu công nghiệp', 'Khu dân cư', 'Cao tốc', 'Bệnh viện']",['Đường trải nhựa'],Mặt tiền,,,,,,,,18 m,,,
"11/07/2022, 16:28",3668,Công,Nhà riêng,TP. Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,"Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh",4.45 tỷ,74.17 triệu/m²,15412,60 m²,5 m,11.99 m,Đông Bắc,2,2,"Nhà bán khu vực Tây Thạnh Tân Phú 5m x 12m giá 4 tỷ 450 triệu:. + Vị trí : Nhà gần mặt tiền đường Lê Trọng Tấn, cạnh khu CN Tân Bình , UBND phường Tây Thạnh. + Kết cấu : Nhà 1 trệt 1 lầu gồm 2 phòng ngủ 2 wc, nhà đẹp trống khách mua vào ở ngay. + Nhà có lợi thế mặt tiền 5m , tiện ích xung quanh đầy đủ chỉ mất 5 phút gia chủ có thể mua sắm tại Aeon Mail Tân Phú . + Sổ đẹp vuông vứt, pháp lý sạch, công chứng ngay trong ngày . Quý khách quan tâm hày gọi điện để biết thêm tông tin !.",1657531706,Sổ hồng,,,Hẻm,,,Đang ở,Đã qua sử dụng,,,,,2,Nhà cấp 1,
"11/07/2022, 16:26",3784,Mai Đào,Đất bán,Quảng Nam,Thị xã Điện Bàn,Xã Điện Thọ,"Xã Điện Thọ, Thị xã Điện Bàn, Quảng Nam",1.67 tỷ,5.02 triệu/m²,15411,332 m²,18.75 m,17.32 m,Đông Nam,--,--,"chào bán lô diện tích biệt thự mặt tiền gần trục chính vị trí đất giáp chợ vĩnh Điện và gần cây xăng Điện phước Điện Bàn Quảng Nam.
- Diện tích 332 18,75x17,32
- xung quanh đầy đủ tiện ích ,nhà văn hóa thôn,chợ cửa hàng tập hóa,cửa hàng điện gia dụng spa..làm tóc đầy đủ phục nhu cầu sống của người dân
- từ vị trí đất thông ra quốc lộ 1A,bệnh viện Vĩnh Đức và chợ Vĩnh Điện trục đường liên thông huyết mạch
-nếu mua lô này tách được 2 lô,mỗi lô 150m2 hoặc 3 lô mỗi lô 100m2 rất tiện 
- liên hệ hotline để xem đất sớm.",1657531599,Sổ hồng,"['Nhà văn hóa', 'Sân vận động', 'Trường mầm non', 'Trường cấp 1', 'Chợ', 'Khu dân cư', 'Cao tốc', 'Bệnh viện']","['Đường trải nhựa', 'Đường bê tông']",,,,,,,,,15 m,,,
"11/07/2022, 16:25",3339,Lê Thị Hồng Vân,Nhà riêng,Thừa Thiên Huế,TP. Huế,Phường Trường An,"Phan Bội Châu, Phường Trường An, TP. Huế, Thừa Thiên Huế",7.1 tỷ,124.56 triệu/m²,15410,57 m²,15 m,4 m,Đông Nam,5+,3,"📣NHÀ MẶT TIỀN 3 TẦNG FULL NỘI THẤT ĐƯỜNG PHAN BỘI CHÂU - ĐỐI DIỆN TRƯỜNG TIỂU HỌC TRƯỜNG AN 📣. Liên hệ: em Vân đi xem nhà và chốt giá tốt nhất!!!. Vị trí: đối diện trường tiểu học Trường An, khu vực cao ráo ko sợ ngập lụt, thích hợp kinh doanh,... Diện tích đất: 57m2. Hướng đông mát mẻ, phong thuỷ. Nhà 3 tầng thiết kế hiện đại. Đầy đủ công năng gồm: 5 phòng ngủ, 3wc kép kín, phòng khách, phòng thờ, sân xe…. Sổ hồng chính chủ. Đã hoàn công. Giá 7,1 tỷ (thương lượng chính chủ).",1657531535,Sổ hồng,,['Đường bê tông'],Mặt tiền,,,Đầy đủ nội thất,Chưa sử dụng,,,['Carmera an ninh'],21 m,3,,
"11/07/2022, 16:20",4098,Lê Quang Bình,Đất bán,TP. Hà Nội,Quận Đống Đa,Phường Trung Tự,"Số 10 Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa, TP. Hà Nội",290 tỷ,290 triệu/m²,15407,1000 m²,42 m,23 m,--,--,--,"Cần Bán Nhà Đất Mặt phố Phạm Ngọc Thạch 1000m2 mặt tiền 23m Vị trí Đắc Địa Sát Ngã tư Giá 290 tỷ
+ Đất Có vị trí rất đẹp, giao thông thuận tiện, vỉa hè siêu rộng, quy hoạch ổn định.
+ Đất đã được Thành phố phê duyệt phương án xây tòa nhà VP, thương mại và dịch vụ. Tổng 26 tầng nổi + 2 tầng hầm.
+ Mật độ xây dựng 74.5%.
+ Hình thức giao dịch : Chuyển nhượng quyền sử dụng đất và chuyển nhượng 100% cổ phần công ty. Hoặc chuyển sang sở hữu cá nhân ( chủ sẽ tăng vốn điều lệ ).
Chủ muốn bán nhanh lên rất thiện chí bán
+ Sổ đỏ, pháp lý chuẩn. Giá 290 tỷ Có gia Lộc
Liên hệ: Miễn Trung Gian.",1657531011,Sổ đỏ,,,,,,,,,,,49.98 m,,,
"11/07/2022, 16:17",747,Trần Thu Hà,Căn hộ,Bình Dương,TP. Dĩ An,Phường Đông Hòa,"Đường Thống Nhất, Phường Đông Hòa, TP. Dĩ An, Bình Dương",1.97 tỷ,38.44 triệu/m²,15409,51.33 m²,5.9 m,8.8 m,Tây Nam,2,2,"Bcons Plaz là dự án thứ 6 của chủ đầu tư Bcons. Dự án Bcons Plaza là nơi khơi nguồn chinh phục những ước mơ, nơi tiếp năng lượng cho thăng hoa cuộc sống, nơi tạo nền tảng để sự nghiệp thành công. Một tổ ấm đong đầy hạnh phúc và tràn trề nhựa sống cho mỗi ngày mới thêm tròn vẹn. * Sức hút của dự án Bcons Plaza. - Đối với khách đầu tư:. + Giá căn hộ Bcons luôn rẻ và pháp lý đảm bảo nhất thị trường bất động sản Dĩ An, Bình Dương. + Đường Thống Nhất đang mở rộng 32m, tiềm năng tăng giá cao. + Vị trí thuận lợi, ngay cửa ngõ TP. HCM, dễ dàng kết nối về trung tâm, liền kề làng Đại học quốc gia... - Đối với khách mua ở:. + Bàn giao vượt tiến độ và chất lượng vượt trội. +Pháp lý rõ ràng, minh bạch, ra sổ hồng nhanh. + Thiết kế thông minh phù hợp tài chính giới trẻ muốn an cư. 1PN - 1WC: 37m2 / 2PN - 2WC: 48 - 57m2. * Ngân hàng bảo lãnh MB Bank; ngân hàng hỗ trợ vay Vietcombank, TP Bank. * Tiến độ hiện tại đang hoàn thiện các hạng mục, dự kiến sẽ bàn giao nhà từ cuối năm nay 2022.
CHI TIẾT CĂN HỘ 
 - Căn góc 2 phòng ngủ - 2WC thoáng mát dt: 51,33m2 nhưng đáp ứng đủ tiện ích và nhu cầu đối với gia đình 2 vợ chồng, 2 đứa con sinh sống
 - Tầng trung, đẹp, thoáng mát 
 - Nằm gần bên giếng trời, 2 phòng ngủ và phòng khách đón nắng và đón gió tự nhiên. 
 - Căn hộ nằm bên thang bộ, yên tĩnh
 - Ban công hướng Tây Bắc nhìn tổng view nội khu, trực diện hồ bơi.",1657531062,Hợp đồng mua bán,"['Công viên', 'Hồ bơi', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Sân vận động', 'Nhà hát', 'Rạp chiếu phim', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Khu công nghiệp', 'Sân bay', 'Khu dân cư', 'Cao tốc', 'Bệnh viện']",,Mặt tiền,Tây Bắc,2020,Nhà trống,Chưa sử dụng,"['Chỗ để ô tô', 'Hầm để xe', 'Công viên', 'Hồ bơi chung', 'Ban công riêng', 'Siêu thị mini', 'T.T thương mại', 'P. sinh hoạt chung', 'Phòng tập gym', 'Sân chơi trẻ em', 'Sân nướng BBQ', 'Nhà hàng', 'Cà phê']","['Thân thiện', 'Trí thức']","['Bảo vệ 24/24', 'Carmera an ninh']",,,,"['Tủ bếp', 'Vòi hoa sen', 'Bồn rửa mặt']"
"11/07/2022, 16:17",3690,Tuấn Khải,Nhà riêng,TP. Hồ Chí Minh,TP. Thủ Đức,Phường Trường Thọ,"Phường Trường Thọ, TP. Thủ Đức, TP. Hồ Chí Minh",4.1 tỷ,41 triệu/m²,15408,100 m²,--,--,--,3,2,"Lô góc hẻm xe tải thẳng chỉ 20m. + Cửa chính hướng Tây Bắc, cổng nhà hướng Đông Bắc. DT 100m2. + Đường số 8 quy hoạch sẽ mở rộng ra 20m. Tương lai không xa sẽ ra tiền. + A4 vuông, không lộ giới, quy hoạch. . Liên hệ Chuyên gia Thành để được hỗ trợ tham khảo nhà. .",1657531042,Hợp đồng mua bán,"['Chỗ đậu ô tô', 'Chợ', 'Siêu thị']",['Đường bê tông'],Hẻm,,,Đầy đủ nội thất,Đã qua sử dụng,,['Thân thiện'],,7 m,2,,"['Kệ TV', 'Bàn ghế P.Khách', 'Bàn ăn', 'Bình nóng lạnh', 'Vòi hoa sen', 'Bồn rửa mặt', 'Máy lạnh', 'Máy giặt']"
"11/07/2022, 16:13",4097,Phạm Thị Hồng Nhung,Đất bán,TP. Đà Nẵng,Quận Thanh Khê,Phường Chính Gián,"K478/36B Lê Duẩn Phường Chính Gián, Quận Thanh Khê, TP. Đà Nẵng",2.8 tỷ,51 triệu/m²,15406,54.9 m²,7.74 m,7.93 m,Tây Nam,--,--,"CHÍNH CHỦ CẦN BÁN NHANH LÔ ĐẤT KIỆT TẠI TRUNG TÂM TP ĐÀ NẴNG . TỔNG DIỆN TÍCH: 54.9 M2
ĐẤT ĐẸP NỞ HẬU, THOÁNG MÁT, KHU DÂN CƯ YÊN TĨNH, AN NINH TỐT 
ĐƯỜNG KIỆT CHÍNH RỘNG 5M (Ô TÔ VÀO VÔ TƯ Ạ)
THIỆN CHÍ ALO EM THĂM ĐẤT VÀ THƯƠNG LƯỢNG NHÉ Ạ

.",1657530793,Sổ đỏ,"['Công viên', 'T.T thương mại', 'Nhà văn hóa', 'Sân vận động', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Khu công nghiệp', 'Sân bay', 'Cảng biển', 'Gần sông', 'Gần biển', 'Khu dân cư', 'Bệnh viện']",['Đường bê tông'],Hẻm,,,,,,,,2.5 m,,,
"11/07/2022, 16:10",2623,Nguyễn Thị Ái Linh,Nhà riêng,TP. Hồ Chí Minh,TP. Thủ Đức,Phường Linh Trung,"Lê Văn Chí, Phường Linh Trung, TP. Thủ Đức, TP. Hồ Chí Minh",8.9 tỷ,110.56 triệu/m²,15405,80.5 m²,20 m,4 m,Tây Nam,4,5+,"Bán nhà hẻm đường Lê Văn Chí, Linh Trung. Thủ Đức, Hồ Chí Minh. - Đường trước nhà 8m có vỉa hè, đường thông, khu dân cư hiện hữu, xây kín, văn minh. - Nhà 4 tầng đúc, gồm 4PN, phòng khách, bếp, phòng thờ, 6 ban công trước và sau nhà, 1 sân thượng mái tiện trồng rau quả, giếng trời 3m2, sân xe ô tô 7 chỗ, sân vườn sau. - Trước sau nhà có khung thép kín chống trộm kín, Cửa cổng 2 lớp (cửa sắt ngoài, cửa cuốn trong), Cửa chính 4 cánh nhôm kính cường lực xingfa nhập khẩu, cửa sau 2 lớp cửa sắt + cửa nhôm kính. Năng lượng nóng lạnh đầy đủ các tầng. * Tiện ích xung quanh:. - Sát trường cấp 1, 2, 3, trường ĐH, bệnh viện đa khoa kv thủ đức, chợ Linh Trung. - Trong khu này nhà đều 4 tầng, đẹp, dân trí cao, thân thiện, sạch sẽ, văn minh. - Giao thông thuận lợi nhất Thủ Đức hiện nay, đi sân bay 12km, bến xe Miền Đông mới 4km, QL1A 200m, QL1K 1,5km, Xa lộ HN 1km, Phạm Văn Đồng 2km, công nghệ cao Q9 1km, ra cao tốc 7km, đi các quận HCM bán kính 2-10km. * Diện tích: 80.5m2 (ngang 4m x dài 20m). - Hướng: Tây Nam . - Sổ hồng riêng hoàn công đủ. - Giá bán 8.9 tỷ TL ( giá cũ 9.2 tỷ). - Liên hệ Ái Linh xem nhà và làm việc chính chủ. - Xin cảm ơn!.",1657530640,Sổ hồng,,,Hẻm,,,Nhà trống,Chưa sử dụng,,,,,3,Nhà cấp 3,
"11/07/2022, 16:10",3919,Mai Khánh Hòa,Nhà riêng,TP. Hà Nội,Quận Thanh Xuân,Phường Hạ Đình,"Phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, TP. Hà Nội",5.1 tỷ,102 triệu/m²,15404,50 m²,--,--,--,--,--,"Vị trí đẹp: 
- Bán nhà ô tô đỗ cửa, đỗ 24/24, mặt tiền 3,7m
- Nhà 4 phòng ngủ
- Dân trí xung quanh nhiều cán bộ cao cấp, an ninh tốt
- 3 phút tới chợ, 10 phút tới TTTM Royal city
- Gần trường ĐH KHXH Nhân Văn, gần trường cấp 1, cấp 2 Hạ Đình
- Miễn môi giới và trung gian..!
- (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).",1657530600,,,,,,,,,,,,,,,
"11/07/2022, 15:56",2469,Kim Ngân,Đất nền dự án,Phú Yên,Huyện Đông Hòa,Phường Hoà Vinh,"Phường Hoà Vinh, Huyện Đông Hòa, Phú Yên",2.68 tỷ,17.87 triệu/m²,15403,150 m²,4.99 m,30 m,--,--,--," -Vị trí: KDC Số 7 P. Hoà Vinh, TX. Đông Hoà, Tỉnh Phú Yên. -Diện tích: 150m2. -Quy hoạch đất ở đô thị. -Hạ tầng hoàn thiện, sổ đỏ đã có, thổ cư full 100%. -KDC hiện hữu đông đúc. -Thuộc trung tâm hành chính tx. Đông Hoà. -Kết nối nhiều tiện ích xung quanh: Trường học, chợ, uỷ ban,……. -Giao thông thuận lợi: Cách QL1A chỉ 200m, sân bay Tuy Hoà 8km,……. -Giá dự kiến: 2 tỷ - 2,2 tỷ/ nền. Tiềm năng phát triển khi thị xã Đông Hoà thuộc khu vực ưu tiên đầu tư phát triển tại Phú Yên. . Tập đoàn Hoà Phát đang muốn đầu tư 2 dự án 120.000 tỷ đồng tại Phú Yên, đây là tiền đề để thúc đẩy sự phát triển kinh tế - xã hội của tỉnh trong thời gian tới. .",1657529768,Sổ đỏ,"['Công viên', 'Sân vận động', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Khu du lịch', 'Khu công nghiệp', 'Sân bay', 'Gần sông', 'Gần biển', 'Khu dân cư', 'Bệnh viện']",['Đường trải nhựa'],Mặt tiền,,,,,,,,12 m,,,
"11/07/2022, 15:54",1768,Nguyen Thi Kim Phuong,Nhà riêng,TP. Hồ Chí Minh,Quận Phú Nhuận,Phường 10,"Trần Hữu Trang, Phường 10, Quận Phú Nhuận, TP. Hồ Chí Minh",5.5 tỷ,157.14 triệu/m²,15402,35 m²,--,--,--,--,--,"Xe hơi thông Trần Hữu Trang, Phường 10, Quận Phú Nhuận. - DT 3.5 x 10m . - Nhà 1 lầu 2 phòng ngủ 2wc full nội thất. - mặt tiền đường 3.5m xe hơi thông . - Nhà hướng Đông Bắc . Giá 5.5 Tỷ TL . Liên hệ: Nguyễn Phương (xem nhà).",1657529698,,,,,,,,,,,,,,,
"11/07/2022, 15:53",3835,Nguyễn Phi Hùng,Đất nền dự án,Bình Phước,Huyện Chơn Thành,Xã Minh Hưng,"Đại Lộ Minh Hưng, Xã Minh Hưng, Huyện Chơn Thành, Bình Phước",1.2 tỷ,12 triệu/m²,13960,100 m²,20 m,5 m,--,--,--,"Dự án: KĐT Phúc Hưng Golden. Vị trí: mặt tiền Đại Lộ Minh Hưng Chơn Thành, liền kề QL13 và QL14. . Chủ Đầu Tư: Công Ty Hoàng Cát Group. Sản Phẩm: đất nền, shophouse. Diện tích nền: 80m2 đến 100m2. . Giá: 12-14tr/m2 - 1 tỷ/nền. . Tiện ích bên trong dự án: công viên, trường học các cấp, bệnh viện, chợ,.... Pháp lý: có giấy phép xây dựng, sổ hồng, giấy chứng nhận quyền sử dụng đất, quy hoạch 1/500. . Hỗ trợ vay vốn ngân hàng. . Đây là một dự án có tiền năng và rất thích hợp để đầu tư. .",1657073928,Sổ hồng,"['Công viên', 'T.T thương mại', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Chợ', 'Khu công nghiệp', 'Khu dân cư', 'Cao tốc', 'Bệnh viện']",['Đường trải nhựa'],Mặt tiền,,,,,,,,32 m,,,
"11/07/2022, 15:51",4008,Phạm Đình Long,Đất nền dự án,Đồng Nai,Huyện Cẩm Mỹ,Xã Lâm San,"DT 765, Xã Lâm San, Huyện Cẩm Mỹ, Đồng Nai",1.7 tỷ,1.7 triệu/m²,15401,1000 m²,50 m,20 m,--,--,--,"Đất nền chỉ với 1.7ty/1000m2 nhà vườn hòa nhập với thiên nhiên VIEW HỒ SÔNG RAY ĐỒNG NAI 
Liền kề khu dân cư, tiện ích đầy đủ: trường học, chợ, siêu thị Bách Hóa Xanh, Trung tâm hành chính, nhà thờ,…
Đặc biệt: 
- Cách sân bay LONG THÀNH chỉ 20p chạy xe
- Cách điểm rơi cao tốc 15p
- Gần các KCN: Cù Bị, Cẩm Mỹ
- Cao tốc Dầu Giây – Phan Thiêt cách trung tâm TP.HCM chỉ 30p đi cao tôc => Làm tăng gấp đôi giá trị sản phẩm.
Hạ tầng: đường nhựa, vỉa hè, cây xanh, điện chiếu sáng, cảnh quan,…
Pháp lý đầy đủ rõ ràng
Liên hệ ngay để biết thêm chi tiết.",1657529498,Sổ hồng,"['Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Chợ', 'Siêu thị', 'Khu công nghiệp', 'Gần sông', 'Khu dân cư', 'Cao tốc']",['Đường trải đá'],,,,,,,,,8 m,,,
"11/07/2022, 15:50",4007,Homei,Đất nền dự án,Đồng Nai,Huyện Cẩm Mỹ,Xã Lâm San,"765, Xã Lâm San, Huyện Cẩm Mỹ, Đồng Nai",1.7 tỷ,1.7 triệu/m²,15400,1000 m²,20 m,50 m,--,--,--,"BÁN ĐẤT CẨM MỸ : GẦN CHỢ, TRƯỜNG HỌC, VIEW SÔNG HỒ THOÁNG MÁT __ ĐƯỜNG 6M 
● DIỆN TÍCH : 1000M2 
● SỔ HỒNG RIÊNG, Khu dân cư hiện hữu 
 gần sân bay Long Thành 
 Cao tốc dầu giây – phan thiết.
● GIÁ BÁN : 1tỉ 700triệu THƯƠNG LƯỢNG TRỰC TIẾP.. 
LIÊN HỆ : zalo.",1657529401,Sổ hồng,"['Công viên', 'T.T thương mại', 'Nhà văn hóa', 'Sân vận động', 'Trường cấp 1', 'Trường cấp 2', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Khu công nghiệp', 'Sân bay', 'Gần sông', 'Gần suối', 'Gần rừng', 'Gần núi', 'Khu dân cư', 'Cao tốc', 'Bệnh viện']","['Đường trải nhựa', 'Đường đất', 'Đường bê tông', 'Đường trải đá']",Hẻm,,,,,,,,8 m,,,
"11/07/2022, 15:47",3664,Đình Long,Nhà riêng,TP. Hồ Chí Minh,Quận Bình Thạnh,Phường 5,"Hoàng Hoa Thám, Phường 5, Quận Bình Thạnh, TP. Hồ Chí Minh",8.5 tỷ,141.67 triệu/m²,15399,60 m²,--,--,--,--,--,"Bán Nhà hẻm 4m đường Hoàng Hoa Thám, Phường 5, Quận Bình Thạnh. - DT: 4.3m x 14m. Sổ CN: 60m2. Đúc 1 Trệt + 1 Lửng + 3 Lầu. . - Đường 4m Thông, xe hơi tới cửa. Vị Trí Dân Trí cao, thích hợp gia đình đông người. Giá: 8.5 Tỷ còn TL. LH: Đình Long Xem nhà.",1657529235,,,,,,,,,,,,,,,
"11/07/2022, 15:45",2873,Hien,Đất nền dự án,TP. Đà Nẵng,Quận Liên Chiểu,Phường Hòa Hiệp Nam,"Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, TP. Đà Nẵng",2.2 tỷ,22 triệu/m²,15398,100 m²,--,--,--,--,--,"- Dự án DRAGON CITY PARK. Vị trí dự án: Đường số 5 và đường Nguyễn Tất Thành nối dài, quận Liên Chiểu. Quy mô : 78ha. Sản Phẩm : 200 lô biệt thự , 2800 lô đất nền liền kề. Diện tích : 85m - 90m - 100m - 125m -150m - 250m2. Giá từ 2,2 -3 tỷ/lô , khoảng 25-28tr/m. Sổ đỏ lâu dài Dragon City Park là Dự án cuối cùng được bán đất nền tại Tp Đà Nẵng. Sở hữu một vị trí có thể nói là ĐẮC ĐỊA HIẾM CÓ tại đất lõi TRUNG TÂM MỚI của Đà thành. Hệ thống tiện ích đa dạng đẳng cấp mang đến TIÊU CHUẨN SỐNG đậm chất THỜI THƯỢNG: Bể bơi, quảng trường, clubhouse, khu vui chơi trẻ em, Hồ cảnh quan... Giá đất đang thuộc vùng TRŨNG so với thành phố Đà Nẵng và cả nước. Dự án được định hướng trở thành khu đô thị mới đẳng cấp của trung tâm Tây Bắc Đà Nẵng. - Điểm đến mới của giới trẻ. *** ĐẶC BIỆT : QUY HOẠCH HẠ TẦNG KHU VỰC VỚI NHIỀU DỰ ÁN KHỦNG:. - VINPEAL LÀNG VÂN quy mô 1500ha với tổng vốn đầu tư là 1,5 tỷ đô. - Resort 5* Lancaster Nam Ô .",1657529129,Hợp đồng mua bán,"['Công viên', 'T.T thương mại', 'Nhà văn hóa', 'Sân vận động', 'Trường mầm non', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Khu công nghiệp', 'Gần sông', 'Khu dân cư']",['Đường trải nhựa'],,,,,,,,,,,,
"11/07/2022, 15:44",4092,Trương Quốc Toàn,Căn hộ,Tây Ninh,TP. Tây Ninh,Phường 2,"Hồ Văn Lâm, Phường 2, TP. Tây Ninh, Tây Ninh",1.02 tỷ,20.48 triệu/m²,15397,50 m²,--,--,Đông,2,2,"Cần bán căn hộ chung cư Golden City Tây Ninh. Vị trí: Phường 2, Tp Tây Ninh. Diện tích: 50m2 -2PN -2WC. Giá : 1tỷ024tr, bao hết phí, sổ hồng lâu dài. Tầng đẹp, thoáng mát, hướng đông view hồ bơi…. Tiện ích: Hồ Bơi trong chung cư, bảo vệ trực 24/24,thẻ từ thang máy, nhà trẻ, siêu thị, nhà thuốc, công viên cây xanh, khu vui chơi trẻ em, coffeshop, Gym,Yoga, Spa…v.v .",1657529045,Hợp đồng mua bán,"['Công viên', 'Hồ bơi', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Sân vận động', 'Nhà hát', 'Rạp chiếu phim', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Khu công nghiệp', 'Sân bay', 'Cảng biển', 'Gần sông', 'Gần suối', 'Gần biển', 'Gần rừng', 'Gần núi', 'Khu dân cư', 'Cao tốc', 'Bệnh viện']",,,Tây,2018,Nhà trống,Chưa sử dụng,"['Chỗ để ô tô', 'Hầm để xe', 'Công viên', 'Hồ bơi chung', 'Ban công riêng', 'Siêu thị mini', 'T.T thương mại', 'P. sinh hoạt chung', 'Phòng tập gym', 'Sân chơi trẻ em', 'Sân nướng BBQ', 'Nhà hàng', 'Cà phê']","['Thân thiện', 'Trí thức']","['Bảo vệ 24/24', 'Carmera an ninh']",,,,"['Kệ TV', 'Tủ trang trí', 'Bàn ghế P.Khách', 'Giường ngủ', 'Bàn phấn', 'Tủ quần áo', 'Tủ bếp', 'Bàn ăn', 'Máy hút mùi', 'Bình nóng lạnh', 'Bồn tắm', 'Vòi hoa sen', 'Bồn rửa mặt', 'Máy lạnh', 'Máy giặt', 'Máy rửa chén', 'Dàn Karaoke', 'Tivi', 'Tủ lạnh']"
"11/07/2022, 15:42",2735,Thu Thắm,Căn hộ,TP. Hồ Chí Minh,Quận 8,Phường 5,"854 Tạ Quang Bửu, Phường 5, Quận 8, TP. Hồ Chí Minh",4.5 tỷ,51.72 triệu/m²,15396,87 m²,--,--,Đông Nam,3,2,"Bán căn hộ Central premium, 3PN, 87m2, mã căn B20.10 , hoàn thiện cao cấp.
Giá: 4,5 tỷ (
Nhà mới chưa qua sử dụng.
Dự án đầy đủ tiện ích, thuận tiện đi lại.",1657528927,Đang chờ sổ,"['Công viên', 'Hồ bơi', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Sân vận động', 'Nhà hát', 'Rạp chiếu phim', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị']",,Mặt tiền,,,,Chưa sử dụng,"['Chỗ để ô tô', 'Hầm để xe', 'Công viên', 'Hồ bơi chung', 'Ban công riêng', 'T.T thương mại', 'P. sinh hoạt chung', 'Phòng tập gym', 'Sân chơi trẻ em', 'Sân nướng BBQ', 'Nhà hàng', 'Cà phê']","['Thân thiện', 'Trí thức']","['Bảo vệ 24/24', 'Carmera an ninh']",,,,"['Tủ quần áo', 'Tủ bếp', 'Máy hút mùi', 'Bình nóng lạnh', 'Bồn tắm', 'Vòi hoa sen', 'Bồn rửa mặt']"
